Loan_ID,Account_Number,Origination_Date,First_Payment_Date,Maturity_Date,Original_Amount,Current_Balance,Interest_Rate,Original_Term_Months,Remaining_Term_Months,Monthly_Payment,Loan_Purpose,Origination_Channel,Grade,Sub_Grade,Internal_Risk_Rating,Loan_Status,Days_Past_Due,DPD_Bucket,Times_30_DPD,Times_60_DPD,Times_90_DPD,Max_DPD_Ever,Months_Since_Last_Delinq,FICO_Origination,FICO_Current,FICO_Delta,Application_Score,Behavioral_Score,PD_Model_Score,LGD_Estimate,Expected_Loss,Annual_Income,Monthly_Income,Monthly_Debt_Payments,DTI_Front,DTI_Back,Income_Verification,Employment_Status,Employment_Length_Years,Employer_Name,Job_Title,Housing_Status,Monthly_Housing_Payment,Co_Borrower_Flag,Borrower_State,Borrower_City,Borrower_Zip,Open_Credit_Lines,Total_Credit_Lines,Revolving_Balance,Revolving_Utilization_Pct,Total_Revolving_Limit,Inquiries_Last_6Mo,Derogatory_Marks,Public_Records,Collections_12Mo,Earliest_Credit_Line,Credit_History_Months,Bankruptcy_Flag,Total_Payments_Made,Total_Principal_Paid,Total_Interest_Paid,Last_Payment_Date,Last_Payment_Amount,Next_Payment_Due,Payment_Method,Autopay_Enrolled,Origination_Fee_Pct,Origination_Fee_Amount,Late_Fees_Charged,NSF_Fees,Total_Fees,Recoveries,Net_Loss,Hardship_Flag,Modification_Flag,Forbearance_Flag,TDR_Flag,Months_On_Book,Seasoning_Bucket,Pool_ID,Servicer_ID,Investor_Code,Vintage_Year,Vintage_Quarter,Cutoff_Date,Reporting_Date
USL0000001,ACCT5293688,01/12/2024,02/01/2024,01/01/2026,47800,27485.0,15.82,24,12,2336.33,Major Purchase,Call Center,C,C1,3,Current,0,Current,0,0,0,0,,632,626,-6,619,602.0,0.0558,0.139,213.18,131874.55,10989.55,2583.67,21.3,23.5,Source Verified,Employed,11,Walmart,Specialist,Mortgage,2997.33,1,OR,OR City,14210,21,32,12343.95,52.3,23602.2,1,0,0,0,07/30/2020,54,0,12,20315.0,7720.96,11/25/2024,2775.48,03/01/2025,Online Portal,1,2.0,956.0,0.0,25,981.0,0.0,0.0,0,0,0,0,12,0-12,POOL-2024-D,SVC003,INV_C,2024,2024Q1,01/31/2025,02/01/2025
USL0000002,ACCT6824878,02/10/2023,03/01/2023,01/20/2027,21700,12477.5,7.66,48,24,526.3,Home Improvement,Partner,A,A5,1,Current,0,Current,0,0,0,0,46.0,697,679,-18,677,688.0,0.001,0.371,4.63,20541.24,1711.77,2532.2,30.7,65.0,Not Verified,Retired,20,Manufacturing,Specialist,Mortgage,2042.7,0,MN,MN City,72479,23,43,2557.39,46.7,5476.21,3,1,0,0,04/10/1994,375,0,24,9222.5,3408.7,10/16/2024,463.08,03/01/2025,ACH,1,6.0,1302.0,0.0,0,1302.0,0.0,0.0,0,0,0,0,24,13-24,POOL-2023-C,SVC003,INV_B,2023,2023Q1,01/31/2025,02/01/2025
USL0000003,ACCT5198067,03/30/2021,04/01/2021,03/04/2026,12000,4180.0,13.75,60,14,277.67,Education,Partner,C,C1,3,Current,0,Current,0,0,0,0,37.0,664,633,-31,648,618.0,0.0492,0.477,98.1,66465.07,5538.76,1735.1,5.0,31.3,Verified,Retired,7,Manufacturing,Engineer,Rent,3408.75,0,NC,Raleigh,38559,22,34,467.97,64.3,727.79,2,1,0,0,07/13/2003,262,0,46,7820.0,4952.82,01/11/2025,242.67,03/01/2025,Check,1,1.5,180.0,0.0,25,205.0,0.0,0.0,0,0,0,0,46,37-48,POOL-2021-C,SVC003,INV_B,2021,2021Q1,01/31/2025,02/01/2025
USL0000004,ACCT6946445,04/05/2019,05/01/2019,03/25/2021,12300,9470.32,18.8,24,0,618.83,Other,Online,D,D2,4,120+ DPD,120,120+ DPD,3,2,1,120,,604,618,14,591,579.0,0.1068,0.31,313.54,93327.89,7777.32,2495.55,8.0,32.1,Verified,Employed,4,Microsoft,Driver,Mortgage,1575.4,0,MA,MA City,42955,7,9,804.5,85.5,940.94,1,0,0,0,06/22/1997,336,0,21,2829.68,10165.75,10/11/2024,513.39,,Check,1,5.0,615.0,106.75,0,721.75,0.0,0.0,0,1,0,0,70,49+,POOL-2019-A,SVC002,INV_B,2019,2019Q2,01/31/2025,02/01/2025
USL0000005,ACCT6276652,01/16/2023,02/01/2023,12/26/2026,27500,15812.5,14.54,48,24,758.95,Moving/Relocation,Direct Mail,C,C1,3,Current,0,Current,0,0,0,0,,669,688,19,624,627.0,0.0451,0.378,269.57,126464.53,10538.71,2094.68,7.2,19.9,Verified,Employed,3,JPMorgan Chase,Analyst,Mortgage,1782.62,0,CA,San Diego,48886,18,27,7374.75,62.3,11837.48,0,0,0,2,05/05/2011,167,0,24,11687.5,6527.3,11/10/2024,765.85,03/01/2025,ACH,1,3.0,825.0,0.0,0,825.0,0.0,0.0,0,0,0,0,24,13-24,POOL-2023-D,SVC001,INV_B,2023,2023Q1,01/31/2025,02/01/2025
USL0000006,ACCT8385343,12/29/2023,01/01/2024,11/22/2030,33800,29353.69,13.95,84,71,632.48,Moving/Relocation,Online,C,C1,3,Current,0,Current,0,0,0,0,29.0,624,646,22,624,644.0,0.0624,0.363,664.9,70571.07,5880.92,2680.93,10.8,45.6,Not Verified,Retired,7,JPMorgan Chase,Engineer,Rent,3177.68,0,WI,WI City,71288,18,20,25494.92,63.6,40086.35,1,5,0,0,10/31/2008,197,0,13,4446.31,3775.93,10/01/2024,553.18,03/01/2025,Mobile App,0,3.0,1014.0,0.0,25,1039.0,0.0,0.0,0,0,0,0,13,13-24,POOL-2023-C,SVC002,INV_B,2023,2023Q4,01/31/2025,02/01/2025
USL0000007,ACCT3692731,06/09/2024,07/01/2024,05/09/2030,21400,19631.53,7.68,72,65,371.88,Moving/Relocation,Online,A,A4,1,Current,0,Current,0,0,0,0,43.0,708,700,-8,699,641.0,0.0047,0.406,37.46,75091.91,6257.66,1315.25,5.9,21.0,Not Verified,Employed,28,CVS Health,Teacher,Mortgage,2609.06,0,IA,IA City,89907,5,20,4026.8,48.9,8234.76,1,1,0,0,03/04/2013,145,0,7,1768.47,834.69,12/25/2024,374.68,03/01/2025,Mobile App,1,1.5,321.0,0.0,0,321.0,0.0,0.0,0,0,0,0,7,0-12,POOL-2024-D,SVC002,INV_C,2024,2024Q2,01/31/2025,02/01/2025
USL0000008,ACCT2327590,05/21/2024,06/01/2024,05/11/2026,27300,19565.0,7.37,24,16,1226.88,Vacation,Broker,A,A4,1,Current,0,Current,0,0,0,0,17.0,684,712,28,712,778.0,0.001,0.343,6.71,87200.6,7266.72,1973.45,16.9,27.2,Source Verified,Employed,21,JPMorgan Chase,Consultant,Own,0.0,0,MO,MO City,15503,25,31,26459.04,24.0,110246.0,0,1,0,0,08/23/1991,407,0,8,7735.0,2080.04,10/05/2024,1338.88,03/01/2025,Check,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,0,8,0-12,POOL-2024-B,SVC002,INV_C,2024,2024Q2,01/31/2025,02/01/2025
USL0000009,ACCT3310161,07/04/2019,08/01/2019,06/13/2023,15500,2325.0,6.85,48,0,370.09,Education,Call Center,A,A3,1,Current,0,Current,0,0,0,0,,688,699,11,711,742.0,0.0103,0.536,12.84,37808.45,3150.7,2724.57,11.7,65.0,Verified,Retired,9,Military,Teacher,Mortgage,1523.2,0,NC,Raleigh,27362,8,14,31568.7,39.6,79718.94,2,0,0,0,07/21/2017,91,0,48,13175.0,4589.32,10/07/2024,316.43,03/01/2025,Auto-Pay,0,6.0,930.0,0.0,0,930.0,0.0,0.0,0,0,0,0,67,49+,POOL-2019-B,SVC002,RETAINED,2019,2019Q3,01/31/2025,02/01/2025
USL0000010,ACCT5777037,03/04/2019,04/01/2019,01/31/2025,37500,5625.0,5.05,72,0,604.81,Home Improvement,Mobile App,A,A2,1,Current,0,Current,0,0,0,0,35.0,755,787,32,706,685.0,0.0237,0.447,59.59,38809.76,3234.15,2868.16,18.7,65.0,Not Verified,Employed,29,Education,Driver,Mortgage,2839.63,1,WA,WA City,70928,9,16,2173.23,48.5,4480.89,0,2,0,1,09/04/2020,53,0,72,31875.0,11671.32,11/06/2024,698.46,03/01/2025,Auto-Pay,0,4.0,1500.0,0.0,0,1500.0,0.0,0.0,0,0,0,0,72,49+,POOL-2019-A,SVC002,RETAINED,2019,2019Q1,01/31/2025,02/01/2025
USL0000011,ACCT5426692,08/23/2021,09/01/2021,08/02/2025,9000,2465.63,17.63,48,7,262.64,Business,Mobile App,C,C5,3,Current,0,Current,0,0,0,0,,674,653,-21,615,641.0,0.0626,0.521,80.42,96924.54,8077.04,1975.15,3.3,24.5,Verified,Employed,6,Amazon,Teacher,Mortgage,781.02,1,IL,Naperville,20383,16,26,8065.39,40.5,19914.54,2,0,0,0,01/05/2000,305,0,41,6534.37,4233.87,10/19/2024,269.82,03/01/2025,ACH,1,1.5,135.0,0.0,0,135.0,0.0,0.0,0,0,0,0,41,37-48,POOL-2021-D,SVC002,INV_D,2021,2021Q3,01/31/2025,02/01/2025
USL0000012,ACCT7862440,05/13/2024,06/01/2024,04/12/2030,17700,16028.33,6.87,72,64,300.66,Debt Consolidation,Mobile App,A,A5,1,Current,0,Current,1,0,0,30,,718,693,-25,709,707.0,0.001,0.249,3.99,97595.83,8132.99,556.59,3.7,6.8,Verified,Employed,19,Apple,Analyst,Mortgage,1031.33,0,CA,San Diego,57288,6,25,3758.76,55.7,6748.22,2,0,0,0,09/03/1999,309,0,8,1671.67,733.61,10/03/2024,318.16,03/01/2025,ACH,0,1.0,177.0,33.48,0,210.48,0.0,0.0,0,1,0,0,8,0-12,POOL-2024-C,SVC001,INV_C,2024,2024Q2,01/31/2025,02/01/2025
USL0000013,ACCT6177759,08/28/2019,09/01/2019,07/22/2026,31900,10595.36,14.2,84,18,601.34,Wedding,Online,C,C2,3,Current,0,Current,0,0,0,0,,645,654,9,631,657.0,0.0757,0.304,243.83,38486.83,3207.24,2215.86,18.7,65.0,Verified,Employed,6,Self-Employed,Supervisor,Rent,920.25,1,OR,OR City,57418,9,18,5910.41,76.9,7685.84,1,0,0,0,02/07/2010,182,0,66,21304.64,18383.8,10/11/2024,719.22,03/01/2025,Auto-Pay,0,6.0,1914.0,0.0,0,1914.0,0.0,0.0,0,0,0,0,66,49+,POOL-2019-C,SVC001,INV_B,2019,2019Q3,01/31/2025,02/01/2025
USL0000014,ACCT3328472,10/20/2020,11/01/2020,09/14/2027,32800,15540.95,19.34,84,32,715.38,Auto Repair,Call Center,D,D1,4,Current,0,Current,0,0,0,0,,607,607,0,600,605.0,0.0835,0.25,324.42,92591.9,7715.99,2068.87,9.3,26.8,Source Verified,Employed,0,Technology,Driver,Own,0.0,0,CO,CO City,45616,30,48,24271.49,83.8,28963.59,1,0,0,0,10/16/1991,405,0,52,17259.05,19940.71,10/27/2024,800.74,03/01/2025,Mobile App,1,4.0,1312.0,0.0,0,1312.0,0.0,0.0,0,0,0,0,52,49+,POOL-2020-C,SVC002,RETAINED,2020,2020Q4,01/31/2025,02/01/2025
USL0000015,ACCT7203559,11/05/2020,12/01/2020,10/10/2025,18200,5050.5,15.97,60,9,442.3,Business,Call Center,C,C4,3,Current,0,Current,1,0,0,30,45.0,586,594,8,608,587.0,0.0718,0.327,118.58,48665.91,4055.49,728.2,10.9,18.0,Verified,Other,15,Manufacturing,Driver,Rent,1580.57,0,PA,Allentown,90957,20,28,5411.27,62.0,8727.85,5,2,0,0,05/03/2009,191,0,51,13149.5,9407.8,10/01/2024,499.37,03/01/2025,Auto-Pay,0,5.0,910.0,29.01,0,939.01,0.0,0.0,0,0,0,0,51,49+,POOL-2020-D,SVC002,INV_C,2020,2020Q4,01/31/2025,02/01/2025
USL0000016,ACCT2477006,07/15/2024,08/01/2024,06/24/2028,25400,22701.25,12.42,48,42,674.13,Debt Consolidation,Mobile App,B,B2,2,Current,0,Current,0,0,0,0,27.0,699,648,-51,658,,0.0318,0.432,311.86,65724.51,5477.04,2703.06,12.3,49.4,Source Verified,Employed,15,CVS Health,Teacher,Mortgage,1816.91,0,WI,WI City,90775,4,8,1946.56,77.9,2498.79,5,1,0,2,04/20/2017,94,0,6,2698.75,1346.03,11/07/2024,612.33,03/01/2025,Mobile App,1,5.0,1270.0,0.0,0,1270.0,0.0,0.0,0,0,0,0,6,0-12,POOL-2024-A,SVC003,INV_C,2024,2024Q3,01/31/2025,02/01/2025
USL0000017,ACCT6285476,10/07/2019,11/01/2019,09/21/2022,55200,8280.0,21.2,36,0,2085.34,Home Improvement,Mobile App,D,D4,4,Current,0,Current,0,0,0,0,,649,615,-34,576,574.0,0.0626,0.298,154.46,150521.0,12543.42,2855.12,16.6,22.8,Source Verified,Retired,0,UnitedHealth,Technician,Rent,2773.54,0,MO,MO City,46559,13,23,8371.46,80.6,10386.43,0,0,0,0,10/05/1996,344,0,36,46920.0,28152.24,11/08/2024,1965.2,03/01/2025,Online Portal,0,6.0,3312.0,0.0,0,3312.0,0.0,0.0,0,0,0,0,64,49+,POOL-2019-D,SVC002,INV_A,2019,2019Q4,01/31/2025,02/01/2025
USL0000018,ACCT7733954,06/18/2023,07/01/2023,05/17/2029,59600,53626.38,13.46,72,53,1210.94,Education,Partner,C,C1,3,60 DPD,60,60 DPD,5,5,1,300,,626,629,3,618,620.0,0.0611,0.411,1346.67,123085.76,10257.15,2568.15,11.8,25.0,Source Verified,Retired,19,Berkshire Hathaway,Driver,Mortgage,988.8,0,WA,WA City,87061,4,14,877.4,64.0,1370.94,3,0,0,0,06/15/1994,372,0,17,5973.62,14612.36,12/02/2024,1287.81,,ACH,1,3.0,1788.0,121.16,0,1909.16,0.0,0.0,0,0,0,0,19,13-24,POOL-2023-C,SVC002,RETAINED,2023,2023Q2,01/31/2025,02/01/2025
USL0000019,ACCT7519024,03/30/2022,04/01/2022,03/19/2024,18300,2745.0,7.31,24,0,821.91,Wedding,Direct Mail,A,A1,1,Current,0,Current,0,0,0,0,,661,657,-4,718,704.0,0.001,0.364,1.0,80350.9,6695.91,3232.65,12.3,48.3,Verified,Employed,7,Government,Consultant,Mortgage,1087.37,0,AL,AL City,13003,13,20,2741.56,48.1,5699.71,4,0,0,0,06/19/2004,251,0,24,15555.0,4170.84,01/28/2025,955.17,03/01/2025,Mobile App,1,2.0,366.0,0.0,25,391.0,0.0,0.0,0,0,0,0,34,25-36,POOL-2022-C,SVC001,INV_C,2022,2022Q1,01/31/2025,02/01/2025
USL0000020,ACCT1413771,09/20/2020,10/01/2020,09/10/2022,36600,5490.0,8.47,24,0,1663.18,Education,Partner,A,A5,1,Current,0,Current,0,0,0,0,,701,722,21,688,704.0,0.003,0.378,6.23,78894.63,6574.55,3718.9,25.3,56.6,Not Verified,Employed,7,Manufacturing,Technician,Mortgage,1737.85,0,PA,Pittsburgh,52531,4,10,2096.13,64.2,3265.0,1,0,0,0,12/13/1996,342,0,24,31110.0,8806.32,12/11/2024,1989.5,03/01/2025,Mobile App,0,1.5,549.0,0.0,0,549.0,0.0,0.0,0,0,0,0,53,49+,POOL-2020-B,SVC003,RETAINED,2020,2020Q3,01/31/2025,02/01/2025
USL0000021,ACCT5530307,01/29/2019,02/01/2019,12/23/2025,20500,5356.85,8.44,84,11,324.03,Moving/Relocation,Online,A,A4,1,Current,0,Current,0,0,0,0,24.0,720,737,17,738,770.0,0.001,0.355,1.9,51270.28,4272.52,1419.19,7.6,33.2,Source Verified,Self-Employed,8,Retail,Teacher,Mortgage,3216.15,1,OK,OK City,74758,19,21,3550.17,35.8,9916.68,2,2,0,0,04/24/2015,119,0,73,15143.15,8511.04,12/29/2024,260.63,03/01/2025,Online Portal,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,73,49+,POOL-2019-A,SVC003,INV_A,2019,2019Q1,01/31/2025,02/01/2025
USL0000022,ACCT5522218,06/23/2019,07/01/2019,06/12/2021,15400,2310.0,10.63,24,0,715.12,Major Purchase,Branch,B,B1,2,Current,0,Current,1,0,0,30,,659,658,-1,692,679.0,0.037,0.456,38.97,21057.06,1754.76,2956.84,40.8,65.0,Source Verified,Other,1,Walmart,Analyst,Own,0.0,0,CA,San Francisco,10496,22,25,41131.02,62.2,66127.04,0,0,0,0,08/05/2001,286,0,24,13090.0,4072.88,12/07/2024,672.47,03/01/2025,ACH,1,2.0,308.0,31.12,0,339.12,0.0,0.0,0,0,0,1,68,49+,POOL-2019-B,SVC002,INV_B,2019,2019Q2,01/31/2025,02/01/2025
USL0000023,ACCT4359131,09/24/2021,10/01/2021,09/08/2024,34300,5145.0,15.87,36,0,1203.69,Auto Repair,Mobile App,C,C4,3,Current,0,Current,1,1,0,60,6.0,680,629,-51,636,611.0,0.0702,0.553,199.73,131270.6,10939.22,3488.31,11.0,31.9,Source Verified,Employed,17,Healthcare,Associate,Mortgage,1977.88,0,KY,KY City,34144,25,40,4806.79,56.7,8477.58,0,4,0,0,07/01/2018,80,0,36,29155.0,14177.84,12/23/2024,1016.49,03/01/2025,Check,0,5.0,1715.0,28.33,0,1743.33,0.0,0.0,0,0,0,0,40,37-48,POOL-2021-D,SVC002,INV_B,2021,2021Q3,01/31/2025,02/01/2025
USL0000024,ACCT8839894,02/04/2022,03/01/2022,01/25/2024,28200,4230.0,14.88,24,0,1365.72,Medical Expenses,Call Center,C,C2,3,Current,0,Current,0,0,0,0,,646,646,0,667,703.0,0.0832,0.389,136.9,62870.86,5239.24,3795.12,26.1,65.0,Verified,Employed,26,Technology,Supervisor,Rent,2388.2,1,WA,WA City,47069,18,33,1943.78,54.5,3566.57,3,0,0,0,06/06/2005,239,0,24,23970.0,8807.28,11/09/2024,1378.34,03/01/2025,Check,1,1.5,423.0,0.0,0,423.0,0.0,0.0,0,0,0,0,36,25-36,POOL-2022-C,SVC002,INV_B,2022,2022Q1,01/31/2025,02/01/2025
