QD_Ref,BorrowerSSNLast4,AppDate,FundingDt,Contract_Maturity,Amt_Funded,OutstandingPrincipal,NoteRate,APR_Effective,ContractTermMo,RemainingPayments,SchedPayment,ActualLastPmt,VehicleMake,VehicleModel,VehicleYear,VehicleVIN,Mileage_Orig,NewOrUsed,DealerName,DealerState,CreditScoreAtOrig,CreditScoreCurrent,CoBorrowerFlag,CoBorrowerScore,BorrowerDTI_Back,BorrowerAnnualInc,EmployerName,EmpYears,IncomeVerified,BorrState,BorrZip,BorrCity,LoanStat,DaysPastDue,DelinqBucket,NumLate30,NumLate60,NumLate90,CumulLossAmt,RecoveryAmt,ChargeoffDate,PaymentMethod,AutoPayEnrolled,ModificationFlag,HardshipPlan,LTV_Orig,BookValue_Orig,CurrentBookValue,Depreciation_Pct,WholesaleValue,RetailValue,OrigFee,ServicingFee_Bps,PoolID,InvestorCode,BatchID,MonthsOnBooks,VintageQtr,FirstPmtDefault,Ext_bureau_inqs_6mo,Ext_revolv_util,Ext_open_accts,Ext_total_accts,Ext_derog_marks,Ext_collections,Ext_bankruptcies,Channel,PricingTier,RiskBand,DecisionEngine_Score,FraudScore,IdentityConfidence
QD-0000001,1750,03/15/2027,,,$43436.58,-33260.33,150.5,20.95,48,45,919.45,948.8,  Tesla  , Model 3,2021,945NQ4FMYZYCWTIQJ,9116,Used,Hendrick Auto,CA,,669,1,662,49.9,205848%,999999999,,,California,30926,Los Angeles,CHARGED_OFF,127,Charged Off,,3,2,23389.1,217.23,04/11/2024,Mobile App,1,0,0,77.2,56265,33533.94,40.4,25899.17,34823.58,486.56,100,QD-2024-A,INV_AUTO_3,BATCH-949,3,2024Q2,0,,60.4,,27,7,4,0,Online App,Near Prime,B,361.3,38.0,67.9
QD-0000002,8749,04/06/2023,2022-05-12,,29538.0,22717.97,19.58,21.62,84,38,357.38,306.32,,Mustang,2024,DPPQ0Y9DOM5IGQPKI,102841,New,Penske,MD,655,678,0,,28.5,198078,,,,MD,42493,City 29,CURRENT,0,Current,0,0,0,0.0,0.0,,Check,,0,0,135.0,21880,12602.88,42.4,10261.37,13794.28,119.0,100,QD-2024-B,INV_AUTO_2,BATCH-840,,2023Q2,0,1,22.9,29,30,5,0,0,Dealer Direct,Super Prime,D,438.1,22.0,53.5
QD-0000003,6050,04/15/2022,2022-07-09,,19784.29,0.0,5.26,,60,42,331.18,0,Subaru,Outback,2019,78BMYYMU5907IF2GO,5482,Used,Larry H. Miller,SC,803,834,0,,26.9,,Home Depot,21,Employer Confirmed,SC,,City 33,PAID_OFF,0,Paid Off,0,0,0,0.0,0.0,,Online,1,0,0,78.1,25332,20316.26,19.8,16466.43,22062.59,37.62,50,,INV_AUTO_1,BATCH-954,18,2022Q2,0,5,74.1,18,31,8,0,0,Dealer Indirect,Prime,A+,500.1,13.1,99.0
QD-0000004,6198,05/30/2022,2024-07-21,,28220.48,14898.38,16.88,19.26,72,56,397.46,424.26,Jeep,Compass,2020,WZS3T60RJIW1SWJCK,,New,Larry H. Miller,SC,781,746,0,,47.7,80888,,,,SC,90120,City 16,CURRENT,0,Current,0,,0,0.0,,,,1,0,0,106.1,26598,23964.8,9.9,17414.45,26191.82,402.05,100,,INV_AUTO_2,BATCH-968,16,2022Q2,0,0,89.3,28,31,,1,0,Broker,Near Prime,E,717.8,49.4,62.2
QD-0000005,5397,09/05/2022,2022-03-26,,13070.7,0.0,15.62,16.49,60,35,220.68,0,BMW,3 Series,2019,I7KQ1UYMRLRMJKV5U,57091,Certified Pre-Owned,Penske,KY,603,568,0,,33.0,209436,,,Not Verified,KY,99687,City 7,PAID_OFF,0,Paid Off,0,0,0,0.0,0.0,,Mobile App,0,0,0,,9682,6070.61,37.3,4902.83,6657.63,353.65,100,QD-2024-B,INV_AUTO_3,BATCH-730,25,2022Q3,0,13,82.2,4,17,5,5,0,Broker,Deep Subprime,E,522.3,50.6,67.1
QD-0000006,8078,04/24/2023,2023-06-26,,38819.72,26217.08,8.2,10.06,48,37,814.27,798.89,BMW,X1,2021,AIY4VA13U1GSPK9P3,116578,Used,Lithia,TX,570,547,0,,48.5,145184,Starbucks,9,Employer Confirmed,TX,19329,San Antonio,60DPD,60,60-89,4,2,0,0.0,0.0,,Check,1,0,0,75.7,51281,37640.25,26.6,29643.65,42142.3,234.35,75,QD-2025-A,INV_AUTO_3,BATCH-612,11,2023Q2,0,4,7.1,6,15,4,3,0,Online App,Deep Subprime,A+,626.7,64.8,95.4
QD-0000007,2480,07/24/2022,2024-12-13,,58564.92,32751.68,23.08,24.22,72,29,829.05,687.72,Chevrolet,Equinox,2018,W5PY6B2KNFTU2GC5W,29817,Used,Sonic Auto,MN,639,598,1,568,54.0,192922,FedEx,16,,MN,67711,City 22,CURRENT,0,Current,0,0,0,0.0,0.0,,Mobile App,1,0,0,103.1,56804,52430.09,7.7,43319.43,62086.97,190.0,75,QD-2025-A,INV_AUTO_1,BATCH-732,43,2022Q3,0,8,33.9,23,35,1,2,0,Dealer Direct,Near Prime,C,822.6,97.0,53.7
QD-0000008,1536,03/30/2023,2022-05-10,,16388.78,12409.45,17.76,19.52,36,11,461.98,399.7,Kia,Soul,2022,QIN9N6XCJ883DHX8B,36666,Certified Pre-Owned,Sonic Auto,VA,,675,0,,55.6,119379,Uber,0,,VA,89964,City 36,CURRENT,0,Current,0,0,,0.0,0.0,,ACH,1,0,0,101.8,16099,11076.11,31.2,9600.09,12439.92,185.51,100,,INV_AUTO_2,BATCH-524,25,2023Q1,0,15,11.6,8,25,2,3,0,Dealer Indirect,Deep Subprime,A+,383.9,94.6,65.2
QD-0000009,5477,08/13/2023,2023-10-02,,17494.49,6796.23,11.13,12.92,36,32,490.47,437.84,Tesla,Model X,2024,MA5UOFWB0HPMNZ1UD,,New,Penske,FL,563,574,,,43.1,169216,UPS,13,Employer Confirmed,FL,16743,Jacksonville,CURRENT,,Current,0,0,0,0.0,0.0,,,1,0,0,122.1,14328,8281.58,42.2,7170.96,8724.56,113.08,100,,INV_AUTO_1,BATCH-723,4,2023Q3,0,3,35.0,18,29,1,2,1,Dealer Direct,Super Prime,D,427.6,65.7,61.2
QD-0000010,2381,03/19/2022,2022-04-27,,70903.39,51901.48,15.37,16.68,84,44,854.9,728.18,Volkswagen,ID.4,2025,IPPSFNKOMV2XCDYK0,93626,New,Penske,,808,823,0,,28.0,94004,Google,16,Verified,MA,69233,City 20,REPO,172,Repo,8,3,2,26982.61,17932.52,11/19/2024,Online,1,0,0,134.7,52638,40531.26,23.0,34945.78,47319.25,160.76,100,,INV_AUTO_2,BATCH-163,40,2022Q1,0,12,46.3,18,19,7,4,0,Dealer Indirect,Prime,E,818.6,85.5,80.8
